iter	Logloss
0	0.5911913143
1	0.5160761727
2	0.4569141907
3	0.4138073286
4	0.3820868878
5	0.3545076518
6	0.3339897795
7	0.3186602846
8	0.3052340675
9	0.2958356626
10	0.2871535391
11	0.2808773035
12	0.2757358522
13	0.2713609939
14	0.2680764428
15	0.2651714119
16	0.2628148847
17	0.2606000211
18	0.2589648447
19	0.2574751809
20	0.2562836806
21	0.2553881809
22	0.2544493797
23	0.2535889451
24	0.2527954284
25	0.2523348313
26	0.2517390778
27	0.2512015638
28	0.2508075141
29	0.2504800191
30	0.2501776662
31	0.2498429458
32	0.2494124869
33	0.249045991
34	0.2487494631
35	0.2485009357
36	0.2482523903
37	0.2480372761
38	0.2478138249
39	0.2476003166
40	0.2474009283
41	0.2472239408
42	0.2470703478
43	0.2469164496
44	0.2467543813
45	0.246640681
46	0.2464358427
47	0.2462617504
48	0.2461107549
49	0.2458915993
50	0.2457920696
51	0.2456694024
52	0.2455064424
53	0.2452809922
54	0.2450763188
55	0.2449275182
56	0.2448142307
57	0.2446582061
58	0.2445235403
59	0.244410891
60	0.2442786833
61	0.2441541787
62	0.24404921
63	0.2439016774
64	0.2437909022
65	0.2437110358
66	0.2436037396
67	0.2434687101
68	0.2433962343
69	0.2432955737
70	0.2431924095
71	0.2430633891
72	0.2429913319
73	0.2428911473
74	0.2427934605
75	0.2427240086
76	0.2426043013
77	0.2424592813
78	0.2423121132
79	0.2422529953
80	0.2421940464
81	0.2420614853
82	0.2420002734
83	0.2419056814
84	0.2418436945
85	0.2417741856
86	0.2416423646
87	0.2415284366
88	0.2414084378
89	0.2412980509
90	0.2412442661
91	0.2411704507
92	0.2410865147
93	0.2410014961
94	0.2408909233
95	0.2408186182
96	0.2406886692
97	0.2405654173
98	0.2404791749
99	0.2404200155
100	0.2403265055
101	0.2402539375
102	0.2401580128
103	0.2400511387
104	0.2399477513
105	0.2399045195
106	0.2398028523
107	0.2397406491
108	0.2396882639
109	0.239629725
110	0.2395594014
111	0.2395021501
112	0.2393893657
113	0.2393514106
114	0.2392313286
115	0.2391069019
116	0.2390441639
117	0.2389832985
118	0.2389005847
119	0.2388464722
120	0.2387473894
121	0.2386545066
122	0.2385026758
123	0.2384261832
124	0.238301786
125	0.2382607644
126	0.2381617577
127	0.2380902713
128	0.2380030009
129	0.2379131553
130	0.2378345219
131	0.2377909759
132	0.2377508453
133	0.2376528262
134	0.2375791048
135	0.2374989197
136	0.2374252268
137	0.2373444462
138	0.2372747563
139	0.2372004546
140	0.2370861357
141	0.2370051077
142	0.2369169196
143	0.2368212437
144	0.2367046459
145	0.2366017634
146	0.2365494529
147	0.2364674593
148	0.2363808548
149	0.2362422947
150	0.2361580474
151	0.2360314294
152	0.2359685294
153	0.2359129344
154	0.2358409582
155	0.235763865
156	0.2357235886
157	0.2356519519
158	0.2355546977
159	0.2354284389
160	0.2353207021
161	0.2352393941
162	0.2351167539
163	0.2350624376
164	0.2350354073
165	0.2349671919
166	0.2349107034
167	0.2348375614
168	0.2347758203
169	0.2347609523
170	0.2346895684
171	0.2346668776
172	0.2345784701
173	0.2344680849
174	0.2343966795
175	0.2342988102
176	0.2342316381
177	0.2341616115
178	0.2340804637
179	0.2340178402
180	0.2339323089
181	0.233837021
182	0.2337477196
183	0.2337235468
184	0.2336453335
185	0.2335417758
186	0.2334851091
187	0.2333974696
188	0.2333371946
189	0.2332484385
190	0.2331657186
191	0.2330966262
192	0.2330433072
193	0.2329674484
194	0.232894901
195	0.2328369925
196	0.2327939912
197	0.2327138932
198	0.2326284839
199	0.2325738019
200	0.2325192306
201	0.2324731853
202	0.2323909084
203	0.2322866862
204	0.2322178267
205	0.2321027985
206	0.2320547724
207	0.2320335031
208	0.2319799792
209	0.2319225406
210	0.2318237046
211	0.2317524263
212	0.2316965813
213	0.2316457056
214	0.2315284962
215	0.2314640004
216	0.2314066585
217	0.2313732701
218	0.2313601197
219	0.2312783095
220	0.2311978103
221	0.2311409372
222	0.2310925539
223	0.2309619455
224	0.2309007782
225	0.2308286988
226	0.2307646274
227	0.2307380518
228	0.2306608894
229	0.2306323659
230	0.2305902605
231	0.2305190848
232	0.2304267555
233	0.2303559454
234	0.2302952451
235	0.230257881
236	0.2302016575
237	0.2301846531
238	0.2300909939
239	0.2300543993
240	0.2299891376
241	0.2298783475
242	0.2298324315
243	0.2297787489
244	0.2297283843
245	0.2296973918
246	0.2296389796
247	0.2296002629
248	0.2295330791
249	0.2294856613
250	0.2294352406
251	0.2293315162
252	0.2292810636
253	0.2292203966
254	0.2291732159
255	0.2290849543
256	0.2289921528
257	0.2289172636
258	0.2288811991
259	0.2287846123
260	0.2287220802
261	0.2286808964
262	0.2286140248
263	0.2285383819
264	0.2284797219
265	0.2283591105
266	0.2282835411
267	0.2281940946
268	0.228127937
269	0.2280642556
270	0.2280152879
271	0.2279391928
272	0.227896891
273	0.2278680054
274	0.2277952207
275	0.2276941747
276	0.2276434214
277	0.2275887602
278	0.2275332146
279	0.2274579024
280	0.2273696663
281	0.2273155375
282	0.2272465791
283	0.22719408
284	0.2271459911
285	0.2270732683
286	0.2270097839
287	0.2269576721
288	0.2268801851
289	0.2268154807
290	0.2267601733
291	0.2266839825
292	0.2266568484
293	0.2265996401
294	0.226534791
295	0.2264980889
296	0.2264209089
297	0.2263718982
298	0.2263391872
299	0.2262348134
300	0.2261076001
301	0.226005513
302	0.2259637275
303	0.225893955
304	0.2258439536
305	0.2257548835
306	0.2256890624
307	0.2256301975
308	0.2256000125
309	0.2255201224
310	0.2254067047
311	0.225349787
312	0.2253155549
313	0.2252454174
314	0.2251475817
315	0.2250687957
316	0.2249995524
317	0.22495673
318	0.2249127025
319	0.2248493248
320	0.2248136818
321	0.2247488576
322	0.224693628
323	0.2246177665
324	0.2245849366
325	0.2245246327
326	0.2244732373
327	0.2244360048
328	0.224370028
329	0.2242897581
330	0.2242450262
331	0.2241998745
332	0.224123446
333	0.2240576597
334	0.2240077081
335	0.2239079198
336	0.2238949365
337	0.2238027668
338	0.2237301406
339	0.2236852445
340	0.223579013
341	0.2235165343
342	0.2234070918
343	0.2233830151
344	0.2233118777
345	0.2232392147
346	0.2230934939
347	0.2230230388
348	0.2229502096
349	0.2228734672
350	0.2227956286
351	0.2227060083
352	0.2226337385
353	0.2225807485
354	0.2225271441
355	0.2224642591
356	0.2224170676
357	0.2223726085
358	0.2223542856
359	0.2223086698
360	0.2222505474
361	0.2222036552
362	0.2221482614
363	0.2221169459
364	0.2220584263
365	0.2220097222
366	0.2219271856
367	0.2218557902
368	0.2217715295
369	0.2217315832
370	0.2216816473
371	0.2216486907
372	0.2215998602
373	0.2215431934
374	0.2214561182
375	0.2214120645
376	0.2213552437
377	0.2213127479
378	0.2212522497
379	0.2211955103
380	0.2211406965
381	0.2210900323
382	0.2210521024
383	0.2210178835
384	0.2209422071
385	0.2208957876
386	0.2208370565
387	0.2207841876
388	0.2207062987
389	0.2206647048
390	0.2205849593
391	0.2205259804
392	0.2204578623
393	0.2203691091
394	0.2203133778
395	0.2202471847
396	0.2201855773
397	0.2200959923
398	0.2200674051
399	0.2200157244
400	0.2199379908
401	0.2198545768
402	0.2197897083
403	0.2197446939
404	0.2197067364
405	0.2196261244
406	0.2195846571
407	0.2195322542
408	0.219444557
409	0.2193343996
410	0.2192805947
411	0.2191869069
412	0.2191465196
413	0.2190983337
414	0.2190202008
415	0.2189737034
416	0.2189253375
417	0.2188877902
418	0.2188632329
419	0.2187859204
420	0.2187394628
421	0.2187069135
422	0.218671978
423	0.2186396853
424	0.2185634279
425	0.2185073808
426	0.2184488444
427	0.2184012926
428	0.2183465869
429	0.2182763802
430	0.2181915436
431	0.2181477276
432	0.2180976785
433	0.2179669949
434	0.2178990305
435	0.2178399518
436	0.2177798773
437	0.2177281212
438	0.2176675951
439	0.2176208671
440	0.2175329991
441	0.2175139829
442	0.2174471305
443	0.2173613
444	0.2173053431
445	0.2172724452
446	0.2172161336
447	0.2171123074
448	0.2170615014
449	0.2170108965
450	0.2170027306
451	0.2169762902
452	0.2169495585
453	0.2169068015
454	0.2168627171
455	0.2168269315
456	0.2167655968
457	0.2167406421
458	0.216687637
459	0.2166511048
460	0.2165680249
461	0.216509948
462	0.2164682638
463	0.216401408
464	0.2163526487
465	0.2163088137
466	0.2162842353
467	0.2162188281
468	0.2161227229
469	0.2160580598
470	0.2160025324
471	0.2159663421
472	0.2159341951
473	0.2158821235
474	0.2157981932
475	0.2157124095
476	0.2156579377
477	0.2155888656
478	0.2155599449
479	0.2155146152
480	0.2154571595
481	0.2154203051
482	0.2154032617
483	0.2153586021
484	0.2153266709
485	0.2152686816
486	0.215187306
487	0.2151537833
488	0.215128956
489	0.2150849843
490	0.2150667187
491	0.215039708
492	0.2150226005
493	0.2149524658
494	0.2149013644
495	0.2148115042
496	0.2147768716
497	0.2147187962
498	0.2146555123
499	0.2145953556
