iter	Passed	Remaining
0	233	116705
1	283	70709
2	379	62917
3	470	58288
4	584	57836
5	696	57368
6	800	56393
7	905	55680
8	1027	56053
9	1134	55598
10	1243	55265
11	1336	54367
12	1438	53904
13	1542	53538
14	1634	52841
15	1728	52289
16	1825	51858
17	1929	51663
18	2031	51434
19	2128	51088
20	2225	50771
21	2324	50505
22	2415	50098
23	2531	50214
24	2636	50087
25	2726	49700
26	2815	49330
27	2938	49529
28	3034	49287
29	3142	49230
30	3229	48858
31	3318	48538
32	3419	48392
33	3510	48119
34	3616	48042
35	3710	47823
36	3816	47753
37	3923	47702
38	4023	47556
39	4120	47388
40	4207	47103
41	4290	46786
42	4377	46527
43	4468	46308
44	4550	46013
45	4631	45710
46	4718	45477
47	4807	45271
48	4890	45011
49	4991	44926
50	5091	44821
51	5183	44655
52	5284	44567
53	5383	44461
54	5484	44377
55	5579	44239
56	5665	44030
57	5754	43851
58	5846	43697
59	5934	43517
60	6025	43366
61	6108	43151
62	6192	42952
63	6283	42806
64	6406	42872
65	6495	42715
66	6585	42558
67	6676	42415
68	6757	42210
69	6850	42078
70	6936	41912
71	7028	41778
72	7112	41603
73	7196	41430
74	7285	41281
75	7382	41186
76	7480	41095
77	7613	41192
78	7736	41230
79	7847	41201
80	7929	41017
81	8016	40863
82	8098	40685
83	8184	40533
84	8281	40432
85	8375	40321
86	8469	40207
87	8559	40074
88	8699	40174
89	8799	40085
90	8891	39964
91	8986	39853
92	9076	39723
93	9170	39607
94	9286	39588
95	9389	39513
96	9489	39426
97	9581	39302
98	9672	39177
99	9761	39046
100	9849	38910
101	9937	38773
102	10035	38681
103	10149	38644
104	10253	38572
105	10336	38421
106	10428	38302
107	10511	38154
108	10596	38010
109	10682	37872
110	10770	37744
111	10859	37619
112	10953	37512
113	11043	37391
114	11148	37323
115	11244	37223
116	11340	37123
117	11424	36983
118	11513	36861
119	11598	36729
120	11684	36597
121	11783	36509
122	11893	36452
123	11981	36330
124	12078	36236
125	12156	36083
126	12250	35979
127	12341	35867
128	12436	35766
129	12527	35656
130	12610	35520
131	12690	35380
132	12769	35236
133	12867	35145
134	12955	35028
135	13048	34924
136	13139	34813
137	13230	34706
138	13315	34582
139	13408	34479
140	13509	34395
141	13595	34276
142	13682	34157
143	13775	34057
144	13866	33947
145	13964	33858
146	14051	33743
147	14156	33669
148	14264	33603
149	14391	33579
150	14503	33520
151	14617	33466
152	14731	33410
153	14831	33322
154	14932	33237
155	15037	33160
156	15135	33066
157	15235	32978
158	15338	32895
159	15448	32827
160	15564	32773
161	15666	32687
162	15776	32617
163	15876	32528
164	15972	32429
165	16080	32354
166	16178	32259
167	16286	32184
168	16395	32111
169	16489	32009
170	16600	31938
171	16694	31836
172	16798	31752
173	16913	31688
174	17018	31605
175	17129	31533
176	17225	31433
177	17328	31347
178	17450	31293
179	17550	31200
180	17666	31135
181	17778	31064
182	17889	30988
183	17983	30883
184	18100	30820
185	18217	30754
186	18318	30661
187	18415	30561
188	18510	30459
189	18617	30375
190	18728	30298
191	18834	30214
192	18932	30115
193	19035	30024
194	19141	29938
195	19247	29853
196	19338	29744
197	19430	29635
198	19530	29540
199	19618	29427
200	19705	29313
201	19791	29198
202	19883	29091
203	19997	29016
204	20092	28913
205	20202	28833
206	20308	28745
207	20393	28630
208	20478	28512
209	20564	28398
210	20659	28296
211	20750	28189
212	20840	28081
213	20922	27962
214	21020	27864
215	21105	27749
216	21191	27636
217	21277	27524
218	21358	27404
219	21451	27301
220	21545	27199
221	21634	27091
222	21723	26984
223	21839	26909
224	21934	26808
225	22035	26715
226	22128	26613
227	22210	26496
228	22308	26399
229	22389	26283
230	22471	26168
231	22565	26067
232	22659	25966
233	22749	25860
234	22834	25749
235	22926	25646
236	23015	25540
237	23093	25421
238	23196	25332
239	23277	25217
240	23372	25117
241	23466	25017
242	23554	24911
243	23642	24805
244	23732	24700
245	23810	24584
246	23896	24477
247	23984	24371
248	24078	24271
249	24166	24166
250	24254	24060
251	24355	23968
252	24438	23859
253	24534	23761
254	24619	23654
255	24711	23553
256	24809	23458
257	24894	23351
258	24980	23243
259	25083	23153
260	25174	23052
261	25261	22947
262	25359	22852
263	25451	22751
264	25540	22649
265	25639	22555
266	25734	22457
267	25831	22361
268	25923	22261
269	26022	22167
270	26120	22072
271	26216	21975
272	26303	21871
273	26387	21764
274	26476	21662
275	26579	21571
276	26670	21471
277	26759	21369
278	26842	21262
279	26935	21163
280	27030	21066
281	27119	20964
282	27211	20865
283	27302	20765
284	27386	20660
285	27479	20561
286	27570	20461
287	27660	20361
288	27758	20266
289	27853	20170
290	27940	20067
291	28038	19972
